code;name;description;group;reference
523;523_CLOUDFLARE_ORIGIN_IS_UNREACHABLE;Cloudflare could not reach the origin server, for example, if the DNS records for the origin server are incorrect or missing.;Server Error - The server failed to fulfill an apparently valid request;[CLOUDFLARE]
524;524_CLOUDFLARE_TIMEOUT_OCCURED;Cloudflare was able to complete a TCP connection to the origin server, but did not receive a timely HTTP response.;Server Error - The server failed to fulfill an apparently valid request;[CLOUDFLARE]
525;525_CLOUDFLARE_SSL_HANDSHAKE_FAILED;A 525 error indicates that CloudFlare was unable to contact your origin server and create a SSL connection with it.;Server Error - The server failed to fulfill an apparently valid request;[CLOUDFLARE]
526;526_CLOUDFLARE_INVALID_SSL_CERTIFICATE;Cloudflare error 526 triggers when Cloudflare is unable to validate server's SSL/TLS certificate.;Server Error - The server failed to fulfill an apparently valid request;[CLOUDFLARE]
527;527_CLOUDFLARE_RAILGUN_LISTENER_TO_ORIGIN;A 527 error indicates that the connection between Cloudflare and the origin's Railgun server (rg-listener) was interrupted. ;Server Error - The server failed to fulfill an apparently valid request;[CLOUDFLARE]
530;530_CLOUDFLARE_ERROR;Error 530 is returned along with a 1xxx error.;Server Error - The server failed to fulfill an apparently valid request;[CLOUDFLARE]
550;550_SMTP_REQUEST_ACTION_NOT_TAKEN;Requested action not taken: mailbox unavailable (e.g., mailbox not found, no access, or command rejected for policy reasons);Server Error - The server failed to fulfill an apparently valid request;[RFC821]
570;570_UNKNOWN_PROTOCOL_REQUEST;;Server Error - The server failed to fulfill an apparently valid request;
580;580_UNKNOWN_RESPONSE_CODE;;Server Error - The server failed to fulfill an apparently valid request;
596;596_INVALID_PREFLIGHT_CORS;Invalid preflight CORS request: Missing Origin header or Request's Http Method is not OPTIONS;Server Error - The server failed to fulfill an apparently valid request;
599;599_NETWORK_CONNECT_TIMEOUT_ERROR;This status code is not specified in any RFC, but is used by some HTTP proxies to signal a network connection timeout behind the proxy to a client in front of the proxy.;Server Error - The server failed to fulfill an apparently valid request;
600;600_UNKNOWN_MESSAGE;;;
830;830_UNKNOWN_MESSAGE;;;
903;903_AUTH_INVALID;Auth Invalid;;
999;999_UNKNOWN_MESSAGE;;;
